,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
53,0,0,0,0,0,0.0,52,249,7501456
54,0,0,0,0,0,0.0,215,3113,7501456
55,0,0,0,0,0,0.0,161,2117,7501456
56,0,0,0,0,0,0.0,175,1214,7501456
57,0,0,0,0,0,0.0,148,1536,7501456
58,0,0,0,0,0,0.0,51,58,7501456
59,0,0,0,0,0,0.0,17,47,7501456
60,0,0,0,0,0,0.0,228,3793,7501456
61,0,0,0,0,0,0.0,164,3788,7501456
62,0,0,0,0,0,0.0,41,144,7501456
63,0,0,0,0,0,0.0,89,1000,7501456
64,0,0,0,0,0,0.0,56,78,7501456
65,0,0,0,0,0,0.0,45,72,7501456
66,0,0,0,0,0,0.0,52,100,7501456
67,0,0,0,0,0,0.0,65,159,7501456
68,179,18493,681,1,1,0.04536975349766822,962,26500,7501456
69,0,0,0,0,0,0.0,208,2136,7501456
70,775,14622,4610,2,2,0.17063962096535387,2287,29020,7501456
71,0,0,0,0,0,0.0,463,3695,7501456
72,0,0,0,0,0,0.0,874,3951,7501456
73,64,199,693,1,1,0.03155594007558854,1851,15638,7501456
74,0,0,0,0,0,0.0,64,106,7501456
75,0,0,0,0,0,0.0,94,1085,7501456
76,0,0,0,0,0,0.0,53,90,7501456
77,0,0,0,0,0,0.0,245,2850,7501456
78,0,0,0,0,0,0.0,375,2621,7501456
79,0,0,0,0,0,0.0,23,135,7501456
80,1,5,2097,1,2,0.11770979511647488,107,2116,7501456
81,0,0,0,0,0,0.0,1119,53404,7501456
82,0,0,0,0,0,0.0,46,85,7501456
83,0,0,0,0,0,0.0,90,2746,7501456
84,0,0,0,0,0,0.0,52,313,7501456
85,0,0,0,0,0,0.0,205,4735,7501456
86,0,0,0,0,0,0.0,190,1419,7501456
87,0,0,0,0,0,0.0,202,6021,7501456
88,0,0,0,0,0,0.0,123,3540,7501456
89,0,0,0,0,0,0.0,58,98,7501456
90,0,0,0,0,0,0.0,184,2534,7501456
91,0,0,0,0,0,0.0,63,153,7501456
92,0,0,0,0,0,0.0,512,4751,7501456
93,0,0,0,0,0,0.0,254,5204,7501456
94,0,0,0,0,0,0.0,70,1356,7501456
95,0,0,0,0,0,0.0,260,1790,7501456
96,0,0,0,0,0,0.0,58,75,7501456
97,0,0,0,0,0,0.0,331,2242,7501456
98,0,0,0,0,0,0.0,165,1832,7501456
99,0,0,0,0,0,0.0,68,98,7501456
100,39,274,1974,1,1,0.23854984894259817,94,516,7501456
